CHIP	CH	SCA 0 SCA 1 SCA 2 SCA 3 SCA 4 SCA 5 SCA 6 SCA 7 SCA 8 SCA 9 SCA 10 SCA 11 SCA 12 
0	0	282.09 269.48 273.13 269.93 274.03 273.62 275.44 269.13 259.52 275.04 267.63 277.12 266.81 
0	0	5.35 2.05 2.27 2.06 1.89 5.22 5.48 5.61 5.51 5.25 5.66 5.63 5.48 
0	1	264.56 270.02 271.03 272.27 269.39 269.77 269.45 269.97 262.68 269.06 269.76 276.24 273.64 
0	1	5.19 2.08 2.24 2.02 1.89 5.04 5.36 5.39 5.32 5.04 5.47 5.43 5.26 
0	2	260.35 249.07 260.99 261.08 255.51 258.33 257.55 254.28 256.99 254.21 260.52 258.06 262.43 
0	2	5.03 2.07 2.35 2.20 2.08 4.91 5.25 5.36 5.17 4.91 5.26 5.39 5.14 
0	3	264.91 265.12 260.48 265.05 267.75 269.54 269.43 263.22 264.73 264.12 271.63 265.84 267.92 
0	3	4.88 2.08 2.40 2.09 1.94 4.70 4.97 5.10 4.95 4.70 5.14 5.21 4.90 
0	4	263.39 253.02 261.13 262.08 261.32 258.13 259.36 257.87 267.40 264.55 260.58 259.15 257.69 
0	4	4.78 2.10 2.28 2.15 2.03 4.57 4.87 4.99 4.75 4.58 4.86 5.15 4.80 
0	5	271.51 264.43 258.93 267.17 268.09 265.80 268.54 269.77 267.07 270.39 263.43 265.36 262.74 
0	5	4.60 2.07 2.33 2.13 1.90 4.40 4.67 4.77 4.64 4.39 4.81 4.89 4.54 
0	6	261.15 261.78 261.11 263.96 268.88 263.78 259.40 262.06 264.05 264.32 265.51 263.10 267.18 
0	6	4.44 2.08 2.31 2.19 1.92 4.24 4.60 4.71 4.51 4.26 4.67 4.78 4.39 
0	7	259.59 250.39 244.83 254.50 259.92 256.10 258.66 251.33 251.68 256.82 257.34 249.58 251.89 
0	7	4.32 2.08 2.45 2.26 2.08 4.10 4.44 4.57 4.54 4.16 4.53 4.85 4.35 
0	8	256.78 254.39 263.40 256.42 257.70 262.41 257.85 258.70 264.18 259.63 261.58 262.22 261.11 
0	8	4.18 2.08 2.36 2.30 2.11 3.99 4.40 4.46 4.27 4.07 4.47 4.57 4.11 
0	9	246.90 248.67 251.76 248.15 247.25 255.94 253.34 252.66 250.22 254.14 258.37 249.91 251.78 
0	9	4.12 2.12 2.42 2.40 2.19 3.88 4.24 4.35 4.33 3.94 4.32 4.62 4.09 
0	10	261.66 253.84 259.18 264.25 257.90 261.96 256.97 262.28 257.25 256.81 254.28 262.62 259.56 
0	10	3.96 2.05 2.34 2.18 2.06 3.74 4.13 4.19 4.12 3.80 4.26 4.32 3.87 
0	11	256.72 256.09 259.90 261.45 254.50 255.77 257.70 249.47 256.24 252.61 258.25 252.95 253.71 
0	11	3.84 2.06 2.35 2.21 2.11 3.56 4.00 4.17 3.98 3.72 4.07 4.38 3.80 
0	12	260.86 254.45 265.67 256.74 257.41 259.02 255.92 257.41 254.62 262.79 260.81 260.44 263.88 
0	12	3.77 2.13 2.31 2.31 2.09 3.44 3.93 4.00 3.95 3.60 4.04 4.16 3.61 
0	13	250.73 245.91 249.85 249.24 248.09 248.84 254.06 245.44 251.29 252.72 253.66 250.00 253.99 
0	13	3.77 2.09 2.42 2.38 2.15 3.44 3.85 4.01 3.86 3.56 3.93 4.33 3.61 
0	14	256.35 255.26 244.89 248.65 244.86 247.31 251.96 251.17 247.48 244.21 250.64 252.99 249.12 
0	14	3.54 2.07 2.45 2.42 2.22 3.36 3.78 3.91 3.80 3.50 3.84 4.21 3.58 
0	15	247.89 248.64 247.24 243.26 249.12 248.51 246.29 251.20 245.14 246.31 246.91 247.27 244.61 
0	15	3.52 2.07 2.38 2.49 2.16 3.21 3.71 3.79 3.75 3.34 3.79 4.16 3.65 
0	16	253.61 259.08 256.58 249.88 250.33 255.05 256.16 257.12 249.75 250.96 248.95 249.03 250.95 
0	16	3.47 2.11 2.37 2.40 2.16 3.20 3.55 3.68 3.60 3.24 3.72 4.08 3.43 
0	17	250.30 247.86 254.47 246.93 252.61 252.71 251.97 250.99 252.90 254.01 252.67 255.44 252.84 
0	17	3.38 2.10 2.40 2.42 2.14 3.10 3.53 3.57 3.54 3.16 3.67 3.95 3.25 
0	18	246.47 249.95 250.45 256.00 247.34 247.43 249.77 246.59 253.75 257.65 244.94 247.52 253.58 
0	18	3.28 2.06 2.45 2.37 2.25 3.02 3.46 3.61 3.43 2.99 3.60 3.99 3.20 
